LotFrontage,LotArea,LandContour,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,SalePrice
65,8450,Lvl,1Fam,2Story,7,5,Gable,196,Gd,TA,Gd,TA,No,GLQ,706,Unf,0,150,856,Ex,856,854,0,1710,1,0,2,1,3,1,Gd,8,0,2003,RFn,2,548,TA,TA,0,61,0,0,0,0,0,208500
80,9600,Lvl,1Fam,1Story,6,8,Gable,0,TA,TA,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,Ex,1262,0,0,1262,0,1,2,0,3,1,TA,6,1,1976,RFn,2,460,TA,TA,298,0,0,0,0,0,0,181500
68,11250,Lvl,1Fam,2Story,7,5,Gable,162,Gd,TA,Gd,TA,Mn,GLQ,486,Unf,0,434,920,Ex,920,866,0,1786,1,0,2,1,3,1,Gd,6,1,2001,RFn,2,608,TA,TA,0,42,0,0,0,0,0,223500
60,9550,Lvl,1Fam,2Story,7,5,Gable,0,TA,TA,TA,Gd,No,ALQ,216,Unf,0,540,756,Gd,961,756,0,1717,1,0,1,0,3,1,Gd,7,1,1998,Unf,3,642,TA,TA,0,35,272,0,0,0,0,140000
84,14260,Lvl,1Fam,2Story,8,5,Gable,350,Gd,TA,Gd,TA,Av,GLQ,655,Unf,0,490,1145,Ex,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,1,2000,RFn,3,836,TA,TA,192,84,0,0,0,0,0,250000
85,14115,Lvl,1Fam,1.5Fin,5,5,Gable,0,TA,TA,Gd,TA,No,GLQ,732,Unf,0,64,796,Ex,796,566,0,1362,1,0,1,1,1,1,TA,5,0,1993,Unf,2,480,TA,TA,40,30,0,320,0,0,700,143000
75,10084,Lvl,1Fam,1Story,8,5,Gable,186,Gd,TA,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,Ex,1694,0,0,1694,1,0,2,0,3,1,Gd,7,1,2004,RFn,2,636,TA,TA,255,57,0,0,0,0,0,307000
,10382,Lvl,1Fam,2Story,7,6,Gable,240,TA,TA,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,Ex,1107,983,0,2090,1,0,2,1,3,1,TA,7,2,1973,RFn,2,484,TA,TA,235,204,228,0,0,0,350,200000
51,6120,Lvl,1Fam,1.5Fin,7,5,Gable,0,TA,TA,TA,TA,No,Unf,0,Unf,0,952,952,Gd,1022,752,0,1774,0,0,2,0,2,2,TA,8,2,1931,Unf,2,468,Fa,TA,90,0,205,0,0,0,0,129900
50,7420,Lvl,2fmCon,1.5Unf,5,6,Gable,0,TA,TA,TA,TA,No,GLQ,851,Unf,0,140,991,Ex,1077,0,0,1077,1,0,1,0,2,2,TA,5,2,1939,RFn,1,205,Gd,TA,0,4,0,0,0,0,0,118000
70,11200,Lvl,1Fam,1Story,5,5,Hip,0,TA,TA,TA,TA,No,Rec,906,Unf,0,134,1040,Ex,1040,0,0,1040,1,0,1,0,3,1,TA,5,0,1965,Unf,1,384,TA,TA,0,0,0,0,0,0,0,129500
85,11924,Lvl,1Fam,2Story,9,5,Hip,286,Ex,TA,Ex,TA,No,GLQ,998,Unf,0,177,1175,Ex,1182,1142,0,2324,1,0,3,0,4,1,Ex,11,2,2005,Fin,3,736,TA,TA,147,21,0,0,0,0,0,345000
,12968,Lvl,1Fam,1Story,5,6,Hip,0,TA,TA,TA,TA,No,ALQ,737,Unf,0,175,912,TA,912,0,0,912,1,0,1,0,2,1,TA,4,0,1962,Unf,1,352,TA,TA,140,0,0,0,176,0,0,144000
91,10652,Lvl,1Fam,1Story,7,5,Gable,306,Gd,TA,Gd,TA,Av,Unf,0,Unf,0,1494,1494,Ex,1494,0,0,1494,0,0,2,0,3,1,Gd,7,1,2006,RFn,3,840,TA,TA,160,33,0,0,0,0,0,279500
,10920,Lvl,1Fam,1Story,6,5,Hip,212,TA,TA,TA,TA,No,BLQ,733,Unf,0,520,1253,TA,1253,0,0,1253,1,0,1,1,2,1,TA,5,1,1960,RFn,1,352,TA,TA,0,213,176,0,0,0,0,157000
51,6120,Lvl,1Fam,1.5Unf,7,8,Gable,0,TA,TA,TA,TA,No,Unf,0,Unf,0,832,832,Ex,854,0,0,854,0,0,1,0,2,1,TA,5,0,1991,Unf,2,576,TA,TA,48,112,0,0,0,0,0,132000
,11241,Lvl,1Fam,1Story,6,7,Gable,180,TA,TA,TA,TA,No,ALQ,578,Unf,0,426,1004,Ex,1004,0,0,1004,1,0,1,0,2,1,TA,5,1,1970,Fin,2,480,TA,TA,0,0,0,0,0,0,700,149000
